Win Prob,Loss Prob,Tie Prob
0.427466,0.484526,0.0918762
0.40176,0.497556,0.103617
0.438224,0.48166,0.0839768
0.449515,0.478641,0.0737864
0.421616,0.496592,0.0856865
0.425532,0.487427,0.0957447
0.430664,0.475586,0.0947266
0.44186,0.487403,0.0746124
0.443478,0.452174,0.107246
0.403257,0.501916,0.0977011
0.455954,0.458858,0.0909971
0.414729,0.48062,0.106589
0.414467,0.490714,0.0987292
0.43272,0.490803,0.0813166
0.410853,0.500969,0.0930233
0.460488,0.457561,0.0829268
0.427459,0.487829,0.0876339
0.414729,0.485465,0.104651
0.403086,0.507232,0.096432
0.43818,0.480712,0.0811078
0.443907,0.478723,0.0802708
0.411937,0.492172,0.0988258
0.439497,0.47241,0.090029
0.415861,0.501934,0.0851064
0.445525,0.466926,0.0914397
0.429971,0.481881,0.0881489
0.438356,0.482387,0.0831703
0.418041,0.488846,0.0979631
0.450923,0.462585,0.0874636
0.437016,0.487403,0.0784884
0.40405,0.500482,0.0973963
0.4258,0.485936,0.0931135
0.408738,0.504854,0.0912621
0.426758,0.463867,0.111328
0.439571,0.475634,0.0896686
0.437196,0.47517,0.0895813
0.422929,0.487476,0.0963391
0.43162,0.482056,0.0902037
0.436346,0.485909,0.0835763
0.444231,0.452885,0.109615
0.423712,0.504373,0.0777454
0.402711,0.498548,0.107454
0.439846,0.470645,0.093359
0.435624,0.481123,0.0909971
0.427474,0.492795,0.0845341
0.415222,0.501927,0.0895954
0.423631,0.479347,0.101825
0.435749,0.482126,0.0859903
0.420543,0.488372,0.0949612
0.422671,0.490874,0.0893372
0.437801,0.47541,0.0906461
0.44648,0.466731,0.0935391
0.412221,0.504365,0.086324
0.431316,0.473583,0.104707
0.446829,0.472195,0.0829268
0.456311,0.438835,0.108738
0.449559,0.472086,0.0803134
0.433237,0.480307,0.0893372
0.401726,0.506232,0.0997124
0.442177,0.471331,0.0913508
0.402132,0.508721,0.0930233
0.395551,0.503868,0.106383
0.431467,0.470077,0.103282
0.423002,0.486355,0.0935673
0.4355,0.479146,0.0892338
0.435159,0.481268,0.0854947
0.418762,0.490329,0.0957447
0.432039,0.480583,0.0932039
0.449568,0.481268,0.0768492
0.442401,0.474347,0.0861568
0.439528,0.485742,0.0747296
0.401157,0.503375,0.099325
0.42259,0.492697,0.0856865
0.413086,0.50293,0.0869141
0.436647,0.503899,0.0653021
0.457198,0.464981,0.0856031
0.424805,0.481445,0.0966797
0.419261,0.4893,0.0953307
0.419167,0.49274,0.0919652
0.391473,0.522287,0.0930233
0.406647,0.518084,0.083089
0.392996,0.513619,0.0963035
0.415058,0.491313,0.0984556
0.424684,0.49174,0.090379
0.434146,0.485854,0.0878049
0.432171,0.477713,0.0939922
0.401361,0.505345,0.0991254
0.452498,0.441724,0.108717
0.452148,0.459961,0.0908203
0.430918,0.491787,0.0821256
0.42623,0.478303,0.101254
0.422481,0.5,0.0794574
0.431068,0.480583,0.0902913
0.408382,0.497076,0.0964912
0.444767,0.474806,0.0881783
0.449471,0.469682,0.0856593
0.428571,0.490347,0.0839768
0.429961,0.480545,0.0963035
0.433723,0.478558,0.0916179
0.447445,0.485053,0.0761813
0.428709,0.482659,0.0973025
0.440546,0.471735,0.0916179
0.427063,0.488484,0.0882917
0.44358,0.464008,0.094358
0.425926,0.483431,0.0964912
0.44112,0.480695,0.0859073
0.451988,0.451018,0.099903
0.431884,0.482126,0.0869565
0.413127,0.491313,0.101351
0.454456,0.463271,0.0842311
0.422287,0.498534,0.083089
0.433852,0.486381,0.0836576
0.423892,0.49422,0.0867052
0.434236,0.466151,0.103482
0.417315,0.494163,0.0904669
0.448544,0.470874,0.0825243
0.427317,0.487805,0.0887805
0.427203,0.478927,0.0977011
0.418112,0.481696,0.102119
0.427184,0.504854,0.0747573
0.445631,0.465049,0.0932039
0.410506,0.507782,0.0856031
0.414706,0.498039,0.0901961
0.425243,0.472816,0.106796
0.416505,0.509709,0.076699
0.418129,0.494152,0.0906433
0.428986,0.499517,0.0724638
0.407946,0.506783,0.0872093
0.420136,0.493708,0.0919652
0.428711,0.495117,0.0791016
0.408696,0.511111,0.0830918
0.431202,0.48062,0.0949612
0.426485,0.483934,0.0925024
0.452335,0.460117,0.0904669
0.415622,0.496625,0.0935391
0.424926,0.478901,0.0971541
0.412621,0.509709,0.0786408
0.435547,0.485352,0.0820312
0.427586,0.479803,0.0955665
0.43499,0.463671,0.106119
0.413191,0.508244,0.0785645
0.414132,0.497547,0.0912659
0.452941,0.461765,0.0892157
0.441748,0.460194,0.100971
0.426527,0.490458,0.0887405
0.452519,0.463178,0.0872093
0.436346,0.469388,0.102041
0.443259,0.473327,0.0882638
0.442064,0.478092,0.0895813
0.421875,0.498047,0.0830078
0.452266,0.457088,0.0954677
0.433688,0.484027,0.089061
0.412051,0.492711,0.102041
0.420488,0.489756,0.0926829
0.422115,0.496154,0.0865385
0.387537,0.512171,0.10224
0.396932,0.522531,0.0882071
0.424684,0.484937,0.0932945
0.435159,0.492795,0.0787704
0.43162,0.494665,0.0805044
0.438409,0.479146,0.085354
